ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,6.04,4.94,8.32,8.09,13.80,12.50,17.33,24.11,29.30,33.33,17.41
2014 Primary Runoff,1.71,1.46,1.52,2.12,3.91,3.27,5.48,8.26,10.77,17.65,6.79
2014 General,17.17,19.75,27.28,32.13,42.29,42.74,48.59,53.28,57.21,63.54,42.52
2016 Presidential Primary,11.80,12.89,19.20,23.30,29.07,32.23,32.93,38.64,43.24,46.92,31.06
2016 Primary,11.58,9.55,16.06,19.61,27.45,29.43,28.88,35.29,41.24,45.50,28.58
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,43.62,43.02,50.85,60.91,65.27,67.73,67.04,70.99,74.33,75.30,63.20
2018 Primary,3.32,3.60,5.10,8.82,10.14,12.58,14.94,18.16,25.20,31.61,15.55
2018 Primary Runoff,1.81,1.39,2.49,2.26,4.69,6.17,8.27,10.32,13.91,21.92,9.15
2018 General,31.34,33.26,42.36,49.56,56.32,61.73,64.38,66.10,69.52,74.20,56.92
