ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,10.01,10.30,15.41,21.13,26.58,26.83,29.19,35.30,42.62,50.95,34.08
2014 Primary Runoff,1.38,2.45,3.96,4.93,7.20,7.15,12.40,16.37,25.21,36.14,19.00
2014 General,21.72,22.86,33.68,41.01,47.50,49.61,56.27,63.94,70.69,75.74,57.13
2016 Presidential Primary,13.40,15.18,21.88,25.96,29.68,36.02,36.93,44.65,51.42,59.10,42.04
2016 Primary,13.32,8.50,16.11,23.04,22.74,28.04,29.76,29.71,36.90,44.48,31.49
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,47.74,47.15,55.26,62.30,66.04,72.12,73.95,76.24,80.44,81.76,71.75
2018 Primary,4.82,5.24,4.14,5.68,6.55,12.72,13.50,16.40,20.19,29.85,18.00
2018 Primary Runoff,3.03,2.42,3.82,6.01,5.57,9.79,11.78,15.55,20.65,30.82,17.82
2018 General,39.09,41.28,52.74,59.62,57.42,68.16,69.61,76.59,80.29,80.40,69.29
