ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.45,2.74,3.62,5.28,8.70,14.06,17.87,24.16,31.58,37.87,13.92
2014 Primary Runoff,1.10,0.60,0.98,1.69,3.05,4.72,7.95,10.52,17.71,22.55,6.67
2014 General,7.66,8.39,13.02,17.09,25.60,35.43,44.15,49.87,56.95,58.13,29.52
2016 Presidential Primary,6.45,5.65,7.89,10.88,15.44,19.89,29.19,32.67,38.28,41.89,19.88
2016 Primary,5.66,3.87,5.98,8.27,12.61,16.18,22.55,26.80,31.72,38.15,16.41
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,27.84,22.91,28.57,35.17,45.04,53.05,60.98,66.96,71.64,72.45,46.21
2018 Primary,3.30,2.66,4.67,7.28,11.50,15.04,22.98,28.15,32.36,36.57,15.54
2018 Primary Runoff,0.63,0.58,1.03,1.37,2.19,4.46,5.92,8.23,10.93,17.65,5.27
2018 General,19.36,17.18,25.42,31.58,39.91,50.39,57.96,64.85,70.22,70.88,42.39
