ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.16,2.76,4.01,6.06,8.52,9.83,13.69,17.49,24.33,33.07,12.99
2014 Primary Runoff,2.40,2.36,3.28,4.74,7.39,8.60,12.35,16.12,22.85,30.50,11.75
2014 General,14.94,18.14,27.70,34.28,39.50,40.98,48.11,52.46,59.18,62.86,40.49
2016 Presidential Primary,15.30,17.48,21.99,26.87,30.58,31.69,34.72,40.57,46.89,50.74,32.54
2016 Primary,3.76,3.33,4.99,7.45,10.88,10.66,13.17,14.79,20.44,29.77,12.89
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,48.51,48.96,56.64,63.74,65.89,67.28,67.71,71.43,75.50,75.50,64.44
2018 Primary,3.61,3.95,5.29,7.43,10.53,11.63,14.26,16.88,22.35,30.83,13.57
2018 Primary Runoff,2.19,2.59,3.36,5.39,8.07,9.94,13.35,16.79,20.87,30.25,12.33
2018 General,32.85,36.63,43.83,52.24,57.51,60.55,60.49,62.39,68.03,70.80,54.71
