ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,1.99,3.20,3.49,7.40,8.92,12.56,13.24,19.11,24.49,31.22,15.13
2014 Primary Runoff,1.44,2.25,2.67,4.13,5.75,8.55,9.82,13.33,20.59,28.32,12.31
2014 General,17.37,21.43,25.88,37.41,43.28,46.08,50.33,55.58,62.44,63.38,45.36
2016 Presidential Primary,16.10,17.07,23.52,26.98,35.05,37.83,37.45,44.83,49.95,51.81,36.78
2016 Primary,4.58,3.08,4.98,7.66,10.39,12.15,11.88,15.40,19.61,27.70,14.12
2016 Primary Runoff,1.66,0.55,1.77,1.45,2.97,4.32,5.10,6.33,10.60,17.69,7.14
2016 General,47.48,42.83,52.50,57.13,66.20,68.91,68.75,74.14,76.30,74.73,64.49
2018 Primary,3.56,3.57,7.48,8.07,14.11,16.02,17.16,19.38,26.71,36.10,18.30
2018 Primary Runoff,2.61,2.57,5.23,6.37,10.32,12.20,13.90,16.64,23.49,31.47,15.40
2018 General,36.16,38.06,48.06,54.20,62.17,68.01,68.48,70.60,74.90,74.62,61.48
