ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,7.09,2.81,7.21,8.17,8.30,12.45,16.23,17.67,24.76,27.75,15.91
2014 Primary Runoff,1.48,0.40,1.83,3.14,3.77,3.57,5.21,11.93,13.58,15.82,7.88
2014 General,30.91,24.22,34.86,41.54,47.89,50.39,55.08,60.69,63.00,61.59,50.03
2016 Presidential Primary,12.90,10.31,12.70,13.88,23.14,21.83,27.53,27.94,35.02,37.72,25.78
2016 Primary,17.33,14.67,19.80,25.82,28.57,35.19,34.41,40.77,51.44,46.13,34.86
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,55.16,47.66,53.23,62.29,63.98,68.02,77.17,73.99,81.52,77.01,68.67
2018 Primary,6.23,5.16,5.56,11.06,10.67,9.38,15.02,21.55,24.82,29.15,17.13
2018 Primary Runoff,7.04,3.79,3.05,6.15,10.96,9.45,12.05,14.34,19.86,23.68,13.78
2018 General,43.88,45.62,46.12,53.73,58.65,62.59,65.73,70.77,76.22,76.30,63.50
