ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,4.94,2.70,4.88,7.18,9.33,11.67,15.49,21.02,25.73,31.69,16.04
2014 Primary Runoff,3.04,2.11,4.80,6.17,6.71,10.80,14.06,17.41,20.39,30.48,14.30
2014 General,17.07,21.48,29.24,35.32,37.33,45.93,51.04,56.16,61.73,64.37,45.38
2016 Presidential Primary,15.74,16.62,23.19,27.30,32.34,36.30,43.77,44.37,49.61,53.49,37.65
2016 Primary,6.77,4.99,7.45,11.34,15.44,16.67,15.72,17.27,23.12,32.07,17.71
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,47.35,45.52,55.26,60.30,65.34,68.41,75.48,74.24,76.60,75.64,66.44
2018 Primary,5.08,3.72,6.10,12.54,13.31,19.02,20.07,23.76,29.34,34.77,19.61
2018 Primary Runoff,4.54,2.95,5.84,8.65,9.50,16.69,16.23,21.68,25.52,32.81,17.42
2018 General,35.91,39.79,47.77,55.45,61.29,68.28,70.57,68.95,74.55,74.42,61.91
