ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,2.86,2.12,4.14,6.43,8.77,11.12,15.02,18.87,24.02,31.83,12.99
2014 Primary Runoff,1.44,1.24,2.08,2.98,4.40,6.21,9.20,12.98,16.23,25.09,8.68
2014 General,18.95,21.06,31.53,41.39,48.58,52.61,57.02,59.73,64.55,65.73,46.62
2016 Presidential Primary,15.27,13.69,20.29,26.53,32.57,36.12,41.09,44.16,49.16,52.16,33.91
2016 Primary,3.27,2.27,4.22,6.63,9.14,11.04,13.00,16.03,20.58,26.53,11.90
2016 Primary Runoff,0.87,0.49,1.14,1.63,2.00,2.54,3.54,4.98,6.62,11.83,3.95
2016 General,49.28,44.01,54.17,63.01,68.48,70.85,73.59,74.75,75.54,74.34,65.09
2018 Primary,6.28,4.70,7.02,11.05,14.72,18.46,21.86,25.53,29.83,35.64,18.12
2018 Primary Runoff,3.71,2.41,4.12,6.51,9.53,13.16,16.67,21.33,25.02,32.75,14.31
2018 General,38.22,37.89,47.18,55.08,62.68,67.61,70.14,71.30,72.91,72.02,59.44
