ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,5.94,4.46,7.35,10.54,13.69,16.63,19.71,24.02,27.78,36.10,17.99
2014 Primary Runoff,3.32,2.67,4.24,5.70,8.61,11.24,15.05,19.47,23.23,31.82,13.90
2014 General,16.93,19.97,29.96,37.09,44.25,48.91,54.25,58.88,63.84,68.03,46.23
2016 Presidential Primary,21.81,19.67,26.18,30.58,34.31,38.36,43.99,46.66,51.60,55.19,38.60
2016 Primary,5.15,4.44,6.62,8.84,11.27,13.26,15.66,18.93,22.82,30.55,15.26
2016 Primary Runoff,0.31,0.18,0.31,0.53,0.86,0.96,1.13,1.56,1.59,2.21,1.09
2016 General,52.88,47.90,59.23,65.39,70.84,72.87,74.80,76.16,77.85,77.58,68.65
2018 Primary,5.36,4.59,6.79,9.00,10.66,12.69,15.56,19.29,24.08,31.16,15.61
2018 Primary Runoff,2.79,2.34,3.29,4.60,6.25,9.19,12.54,16.92,20.96,26.88,12.27
2018 General,37.12,37.39,48.29,54.10,60.45,64.39,67.45,70.18,72.58,73.19,59.98
