ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,5.32,7.61,10.53,12.02,16.22,17.87,21.19,28.20,35.61,35.22,21.45
2014 Primary Runoff,0.98,1.12,1.05,1.73,2.34,2.27,4.15,7.58,10.53,13.34,5.87
2014 General,11.13,13.57,22.63,28.35,32.43,37.81,41.30,48.19,58.26,55.64,38.17
2016 Presidential Primary,13.88,9.97,18.83,23.86,26.54,29.06,35.33,41.47,46.13,43.06,31.29
2016 Primary,7.11,5.29,8.96,13.71,16.53,17.89,20.07,23.83,31.63,33.76,20.45
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,40.79,34.59,46.88,57.78,61.18,64.56,66.29,69.66,74.46,70.60,60.61
2018 Primary,3.33,3.12,7.40,9.69,10.93,16.27,14.50,18.93,27.01,28.70,16.47
2018 Primary Runoff,2.13,1.09,3.01,4.34,6.62,7.30,7.67,12.95,15.25,19.91,10.08
2018 General,28.53,31.17,41.06,48.22,54.34,57.64,59.83,65.76,71.22,68.49,55.17
