ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.02,3.52,3.51,6.61,8.00,11.35,13.93,19.17,23.37,34.25,17.54
2014 Primary Runoff,2.74,2.15,2.20,3.79,5.58,8.17,10.63,14.66,18.77,29.41,14.24
2014 General,17.53,17.13,27.08,33.72,43.69,45.20,49.87,52.53,65.03,68.60,48.71
2016 Presidential Primary,23.02,15.79,22.63,29.94,33.58,38.37,42.47,46.84,53.00,58.18,42.10
2016 Primary,11.77,8.74,15.72,21.72,26.79,24.15,25.50,28.06,31.06,38.66,26.98
2016 Primary Runoff,0.08,0.08,0.00,0.81,0.50,1.02,1.25,1.14,1.32,3.61,1.59
2016 General,53.74,42.97,52.13,61.54,67.11,68.25,71.35,74.00,76.34,77.33,67.92
2018 Primary,6.64,6.48,11.39,14.05,17.31,20.33,21.52,25.00,29.83,35.58,22.73
2018 Primary Runoff,5.74,5.41,8.54,10.25,16.13,17.84,22.52,22.79,28.14,35.31,21.66
2018 General,34.36,34.99,40.79,50.49,57.75,58.72,64.20,66.17,69.87,73.66,59.44
