ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,5.99,3.76,6.98,12.08,14.22,14.50,20.53,24.84,31.27,37.96,20.05
2014 Primary Runoff,0.93,0.53,1.72,2.64,2.96,4.10,7.07,10.89,13.33,18.53,8.06
2014 General,29.78,24.45,33.47,41.71,48.97,54.00,57.50,63.07,70.36,70.10,51.94
2016 Presidential Primary,10.61,11.51,17.06,23.61,23.85,30.75,31.25,41.64,44.03,52.06,32.03
2016 Primary,19.54,16.85,18.84,29.05,28.18,34.20,37.52,42.60,45.17,53.32,35.64
2016 Primary Runoff,10.26,8.05,12.80,20.80,23.81,28.86,31.79,38.47,41.74,50.61,30.26
2016 General,40.71,41.36,44.54,57.93,56.28,68.10,73.20,73.66,76.30,76.15,62.83
2018 Primary,4.35,4.52,4.46,9.17,11.98,13.41,19.57,22.33,27.82,36.47,18.95
2018 Primary Runoff,1.99,1.53,3.60,4.08,6.72,6.58,10.85,15.06,19.29,27.98,12.92
2018 General,32.44,39.83,42.86,50.96,55.64,60.04,67.62,70.17,69.98,74.00,58.94
