ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,14.22,11.36,11.40,18.24,19.35,19.82,22.51,25.21,26.00,29.90,21.28
2014 Primary Runoff,1.79,0.31,1.16,3.32,4.19,4.57,7.89,8.84,10.51,15.24,7.21
2014 General,15.60,16.51,25.53,32.56,39.21,35.49,44.63,46.65,52.16,52.43,38.49
2016 Presidential Primary,14.72,11.97,17.46,22.41,27.41,23.84,33.96,30.64,40.34,38.88,28.17
2016 Primary,18.98,18.21,22.49,31.64,34.71,35.20,43.27,39.73,45.98,50.56,36.60
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,47.15,44.97,51.92,60.85,65.62,63.16,68.32,67.46,76.11,74.95,63.95
2018 Primary,6.33,9.20,11.08,15.92,18.61,20.73,22.38,25.14,25.94,31.49,20.70
2018 Primary Runoff,2.55,2.43,5.21,8.31,6.35,9.43,12.08,14.17,15.57,21.12,11.63
2018 General,41.67,44.91,49.69,56.32,59.70,60.92,66.76,68.49,70.98,72.46,61.24
