ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,14.12,11.17,11.46,13.79,14.46,21.43,21.89,17.90,24.11,27.25,18.66
2014 Primary Runoff,7.78,5.46,10.14,8.05,8.33,10.07,15.03,12.50,11.51,18.13,11.51
2014 General,19.88,18.99,23.03,30.41,27.98,42.64,38.76,43.95,44.29,51.21,35.69
2016 Presidential Primary,19.39,20.37,24.72,25.85,26.74,27.27,40.45,33.93,34.97,33.42,29.33
2016 Primary,25.79,21.25,32.62,40.67,42.44,46.38,48.31,47.27,56.46,57.43,43.37
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,50.99,40.49,52.17,54.05,63.93,65.49,72.83,72.89,74.51,70.77,62.66
2018 Primary,10.30,12.15,14.44,19.12,16.37,22.15,24.10,34.94,26.06,37.07,23.06
2018 Primary Runoff,3.98,5.59,7.14,8.09,6.59,11.32,11.66,15.98,18.18,26.63,13.17
2018 General,37.80,34.74,45.50,58.17,52.33,60.61,56.63,66.67,65.91,67.06,55.15
