ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,9.82,4.95,7.87,3.66,7.41,14.68,15.97,20.54,32.61,29.97,18.70
2014 Primary Runoff,4.50,3.06,4.49,4.88,5.00,7.48,8.26,10.00,16.06,20.33,11.20
2014 General,24.00,25.53,36.90,32.14,35.80,51.52,44.17,44.14,64.12,59.25,46.44
2016 Presidential Primary,21.84,16.05,30.12,20.00,27.03,43.68,39.20,39.45,55.75,48.68,38.54
2016 Primary,41.86,28.75,44.44,38.46,42.11,65.12,65.29,65.22,78.63,76.58,61.11
2016 Primary Runoff,0.00,0.00,0.00,2.15,0.00,0.00,1.59,0.00,0.00,0.79,0.56
2016 General,48.28,45.78,64.77,69.77,58.75,76.19,78.79,69.83,81.42,81.54,71.72
2018 Primary,26.04,20.27,27.40,26.60,32.89,50.62,50.43,52.10,61.54,61.04,47.20
2018 Primary Runoff,40.86,33.33,43.84,36.17,40.28,51.72,61.00,62.02,74.14,73.15,58.39
2018 General,55.06,51.39,63.77,60.82,70.67,72.41,81.82,85.27,83.76,82.65,75.02
