ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.83,3.13,4.77,6.31,9.30,11.78,15.22,19.51,26.46,34.31,16.00
2014 Primary Runoff,3.33,2.12,3.58,4.83,7.63,9.59,13.16,16.91,22.46,30.77,13.89
2014 General,17.29,18.63,27.38,33.56,42.42,46.87,52.13,57.38,64.25,67.84,45.83
2016 Presidential Primary,19.98,17.35,23.04,27.18,32.74,37.48,42.02,44.73,51.82,54.33,37.67
2016 Primary,3.50,2.69,4.07,5.76,7.22,9.83,12.21,14.45,18.66,26.08,12.57
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,51.34,45.82,53.39,59.81,65.39,69.00,71.76,73.56,76.74,76.26,65.71
2018 Primary,5.81,5.35,6.26,8.29,9.91,12.98,17.27,20.28,25.11,32.28,16.58
2018 Primary Runoff,3.76,3.78,5.29,6.60,8.87,13.33,18.21,21.82,26.65,34.34,16.84
2018 General,34.46,34.09,41.50,48.26,54.43,59.28,62.11,65.37,69.38,71.75,55.59
