ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,5.93,11.36,13.93,18.11,25.40,26.59,29.02,29.46,37.52,44.21,26.89
2014 Primary Runoff,4.09,5.67,8.20,9.60,16.57,15.00,20.78,21.43,28.05,34.99,19.06
2014 General,11.54,16.11,25.23,32.76,39.33,40.16,44.61,46.99,51.82,54.82,38.95
2016 Presidential Primary,12.52,13.36,19.47,26.99,31.35,31.20,30.33,37.25,41.50,45.11,31.34
2016 Primary,20.56,19.63,30.02,36.96,42.63,43.86,42.03,53.28,56.81,56.62,42.60
2016 Primary Runoff,12.37,10.91,16.67,22.66,23.83,30.55,33.13,41.11,41.51,50.18,31.47
2016 General,45.41,40.32,55.89,60.93,67.25,65.86,68.55,72.66,73.07,75.00,64.15
2018 Primary,2.25,3.11,7.02,7.02,8.76,15.65,15.20,16.41,23.02,31.48,15.58
2018 Primary Runoff,2.46,2.92,4.14,4.00,7.18,10.24,9.94,13.10,18.72,27.54,12.61
2018 General,37.86,36.35,46.40,56.74,59.11,63.49,64.96,66.60,69.55,73.92,59.68
