ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,2.32,3.41,3.47,6.71,6.24,11.49,11.75,15.19,20.35,26.97,13.59
2014 Primary Runoff,1.11,1.44,1.26,3.25,2.54,3.94,5.52,8.03,9.83,16.15,7.19
2014 General,13.57,14.55,21.49,31.61,37.09,38.97,41.56,50.76,57.73,58.98,40.72
2016 Presidential Primary,14.32,12.46,18.89,24.63,30.02,32.94,37.07,42.00,47.73,50.16,34.89
2016 Primary,10.80,8.75,12.49,20.52,24.97,25.94,28.73,29.54,36.99,41.11,27.30
2016 Primary Runoff,1.57,1.03,1.01,1.47,3.03,2.69,3.59,3.90,6.41,10.24,4.76
2016 General,47.39,42.06,49.24,56.82,66.55,66.77,69.30,70.71,77.99,77.05,65.28
2018 Primary,6.40,7.42,9.26,11.90,16.45,19.16,23.29,23.76,29.39,37.08,22.47
2018 Primary Runoff,2.16,4.06,4.37,5.56,10.05,9.00,14.56,14.48,20.13,27.08,14.64
2018 General,36.83,38.27,45.29,50.55,58.04,63.89,66.42,69.11,72.28,74.91,61.59
