ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.64,3.11,4.98,6.91,9.21,10.34,14.38,18.37,21.36,25.54,13.90
2014 Primary Runoff,1.06,0.93,1.47,2.26,3.18,3.84,5.83,7.60,10.02,13.48,6.29
2014 General,9.98,10.36,17.42,21.40,26.97,33.07,36.74,43.95,48.17,50.15,33.17
2016 Presidential Primary,15.04,13.14,18.33,21.91,26.05,29.63,33.38,38.86,43.08,39.84,30.00
2016 Primary,5.09,4.05,6.76,9.47,12.60,16.24,17.05,19.87,24.08,26.88,16.30
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,43.46,35.22,48.14,53.00,58.12,62.13,64.17,68.28,72.48,65.09,58.35
2018 Primary,3.20,2.17,4.74,6.14,7.51,8.60,12.36,15.30,18.78,22.42,12.10
2018 Primary Runoff,1.32,1.18,1.36,2.54,3.39,4.46,6.49,8.87,10.70,15.89,7.31
2018 General,26.39,27.00,37.59,45.64,48.53,54.87,57.54,62.26,67.07,64.09,51.37
