ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,5.12,7.82,6.59,10.27,12.58,15.59,20.36,24.38,35.00,42.26,25.35
2014 Primary Runoff,1.69,1.93,1.54,4.05,4.42,6.06,11.20,11.38,19.40,27.80,14.56
2014 General,16.74,20.52,22.69,37.71,40.69,47.47,53.65,54.61,66.03,70.76,51.83
2016 Presidential Primary,18.48,15.76,20.79,30.05,31.87,33.60,39.32,41.01,47.83,57.56,40.99
2016 Primary,24.77,20.87,28.08,39.51,43.80,38.38,39.31,41.30,43.68,54.50,42.34
2016 Primary Runoff,8.01,6.99,8.85,10.74,13.36,14.10,17.33,21.13,22.31,32.50,20.70
2016 General,51.62,41.37,48.81,64.25,68.63,70.04,70.29,74.42,77.22,80.89,69.86
2018 Primary,12.68,12.30,15.95,18.41,23.72,26.68,27.44,30.25,34.61,46.24,31.26
2018 Primary Runoff,4.24,3.37,3.31,4.64,7.65,10.72,12.87,17.97,22.77,34.41,19.03
2018 General,35.23,35.32,41.29,46.26,54.38,61.27,63.32,68.04,71.13,76.17,61.84
