ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,6.64,5.86,6.48,7.39,12.71,13.24,20.00,19.80,24.57,32.12,17.24
2014 Primary Runoff,2.58,1.22,1.71,2.98,5.91,5.89,10.63,13.31,16.42,23.88,10.54
2014 General,12.61,13.36,20.34,23.33,30.12,31.11,39.84,47.75,51.07,56.55,35.95
2016 Presidential Primary,13.35,13.05,13.99,14.84,20.27,24.73,29.38,34.29,38.76,43.84,27.50
2016 Primary,17.22,17.93,17.54,23.35,24.84,29.64,35.19,34.59,38.78,42.47,30.22
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.02
2016 General,54.47,42.75,50.83,55.38,62.08,63.43,69.62,72.89,74.44,76.45,64.19
2018 Primary,6.55,4.33,7.13,8.04,8.59,13.54,13.17,19.25,20.93,27.75,15.05
2018 Primary Runoff,2.58,1.46,4.41,3.36,3.17,5.45,5.52,8.99,12.24,19.61,8.53
2018 General,32.02,28.32,38.01,39.79,46.24,52.54,53.14,60.11,60.49,65.66,50.20
