ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,2.97,6.00,4.86,10.90,11.74,13.44,12.88,19.96,22.15,22.29,14.71
2014 Primary Runoff,1.36,3.55,2.75,5.95,5.94,7.66,9.20,11.07,15.98,16.85,9.87
2014 General,13.80,17.30,19.20,28.76,35.07,36.51,41.23,53.03,55.07,53.47,39.29
2016 Presidential Primary,13.90,15.73,17.41,25.33,32.21,31.06,37.55,40.42,45.95,43.61,33.40
2016 Primary,15.21,15.16,21.51,25.13,32.61,36.03,39.25,39.35,42.80,43.40,33.77
2016 Primary Runoff,0.00,0.00,0.23,0.26,0.24,0.00,0.00,0.35,0.19,0.06,0.12
2016 General,38.73,37.24,42.95,55.45,58.41,60.43,64.76,68.61,72.17,68.75,59.39
2018 Primary,11.37,8.22,16.62,19.54,24.26,29.13,28.97,31.44,39.79,37.28,27.69
2018 Primary Runoff,9.16,8.66,12.50,14.83,23.06,25.37,26.98,26.31,38.93,35.86,25.49
2018 General,31.87,31.89,40.97,47.73,56.25,61.17,62.93,62.48,67.95,65.44,55.74
