ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,1.49,2.51,4.10,4.51,8.29,9.89,15.06,18.49,27.08,31.95,13.80
2014 Primary Runoff,0.84,0.91,0.87,2.29,3.76,5.22,7.39,9.04,16.18,21.23,8.05
2014 General,15.70,17.72,28.71,37.33,43.10,49.37,54.85,59.07,65.51,63.39,43.61
2016 Presidential Primary,8.86,8.47,15.85,19.81,26.29,31.09,35.11,40.86,45.34,47.79,29.33
2016 Primary,3.38,3.29,6.55,8.65,12.05,14.13,16.43,20.13,25.69,30.05,15.54
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,43.35,34.87,46.87,53.38,63.35,67.07,70.37,72.63,76.07,73.03,60.31
2018 Primary,3.82,3.65,6.72,8.78,12.52,16.83,18.03,22.30,29.73,33.42,17.58
2018 Primary Runoff,1.47,1.39,1.49,3.46,5.26,7.07,10.78,15.34,17.96,23.56,10.71
2018 General,34.11,32.82,46.68,50.91,56.31,63.87,66.10,71.09,73.70,72.62,57.61
