ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,2.17,2.47,4.34,6.51,9.64,11.50,14.25,18.41,24.97,30.06,12.86
2014 Primary Runoff,1.41,1.23,2.20,3.65,6.22,7.25,9.13,13.83,17.32,23.84,9.20
2014 General,12.94,12.82,20.99,27.93,33.34,38.44,44.30,49.52,57.25,57.92,35.28
2016 Presidential Primary,16.69,12.19,17.44,21.69,25.78,30.09,32.66,36.18,42.80,44.31,28.29
2016 Primary,2.61,2.07,3.44,4.84,8.02,9.78,11.16,13.63,19.01,23.75,10.47
2016 Primary Runoff,0.31,0.31,0.52,0.54,0.78,0.91,1.40,1.72,1.69,2.81,1.20
2016 General,43.58,33.68,43.25,50.75,56.91,62.62,66.57,69.29,72.83,71.18,56.66
2018 Primary,3.14,2.42,4.00,6.29,8.17,12.01,13.32,16.14,23.03,28.16,12.25
2018 Primary Runoff,1.42,0.83,1.35,2.32,3.35,5.85,7.00,8.18,12.28,18.70,6.83
2018 General,31.09,26.45,33.31,41.75,46.75,54.72,59.18,62.45,68.18,68.31,48.76
