ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.50,3.43,6.37,8.90,10.80,12.95,14.77,20.58,25.96,32.03,16.48
2014 Primary Runoff,1.68,1.50,2.55,2.67,3.85,5.27,7.32,11.20,15.85,22.02,9.53
2014 General,12.52,14.78,23.66,30.71,35.55,41.37,45.40,51.29,60.10,60.17,40.83
2016 Presidential Primary,16.70,14.32,20.68,25.38,28.86,32.56,36.35,42.22,48.67,47.95,33.95
2016 Primary,5.27,4.68,7.80,10.61,13.01,15.03,16.74,18.95,23.27,29.03,16.64
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.01,0.00
2016 General,46.39,40.42,47.72,56.84,62.43,66.05,68.01,71.78,74.05,71.66,62.07
2018 Primary,5.52,4.05,7.23,10.04,12.74,13.80,16.82,20.84,27.45,33.06,17.80
2018 Primary Runoff,2.07,1.37,2.40,2.98,4.90,6.69,9.02,11.96,17.04,24.72,10.84
2018 General,33.16,30.93,39.92,46.56,53.31,58.98,61.09,65.47,70.07,70.58,55.38
