ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,6.01,5.11,9.52,10.58,13.09,14.97,19.17,26.53,29.94,29.77,18.35
2014 Primary Runoff,2.28,3.89,5.72,7.80,8.90,10.01,13.03,19.65,21.68,22.92,13.22
2014 General,10.87,10.02,19.11,23.94,28.81,30.68,39.73,49.22,54.30,52.19,34.86
2016 Presidential Primary,17.11,12.65,19.18,25.34,26.09,29.98,31.42,43.57,46.83,41.45,31.15
2016 Primary,8.36,7.46,13.77,15.61,19.52,20.27,20.53,30.32,33.19,34.75,22.41
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,42.53,30.13,46.74,53.17,55.68,59.90,65.48,69.39,72.77,66.15,57.19
2018 Primary,5.33,5.98,13.66,15.90,21.11,27.32,25.00,29.35,37.83,38.01,23.09
2018 Primary Runoff,1.08,1.39,3.94,5.05,6.57,9.52,8.88,12.53,17.79,19.85,9.86
2018 General,16.13,19.54,33.73,43.70,50.00,53.39,57.50,63.22,68.99,67.03,47.69
