ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,2.62,1.78,4.65,5.47,8.95,12.69,14.59,18.44,22.04,31.73,15.27
2014 Primary Runoff,1.71,1.09,2.52,3.05,4.41,7.33,8.47,12.44,15.61,25.04,10.68
2014 General,17.68,16.51,27.60,32.08,40.14,48.07,52.47,58.46,63.95,66.18,46.82
2016 Presidential Primary,18.42,14.51,21.37,26.81,33.38,37.00,42.93,44.13,51.75,52.48,37.90
2016 Primary,4.16,2.25,5.49,7.87,8.63,12.32,14.21,17.14,23.61,32.48,16.00
2016 Primary Runoff,1.62,1.02,1.88,3.36,3.80,5.28,6.63,8.13,11.68,16.64,7.75
2016 General,52.95,44.55,54.20,65.04,66.90,72.37,75.51,75.98,79.00,75.99,68.41
2018 Primary,6.72,5.85,8.55,13.02,16.27,18.95,23.64,25.14,33.38,38.93,22.48
2018 Primary Runoff,1.76,1.93,2.56,2.60,5.26,6.39,10.91,12.47,17.94,25.93,11.62
2018 General,38.70,38.23,48.50,58.49,62.37,68.31,72.65,73.76,77.31,77.88,64.75
