ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,4.98,3.66,7.35,8.56,12.67,13.19,17.47,20.93,26.54,33.83,17.19
2014 Primary Runoff,1.95,1.67,3.24,4.57,6.63,8.02,12.16,15.37,21.27,26.30,12.11
2014 General,19.10,21.00,31.43,38.78,42.91,46.55,52.08,56.13,65.80,66.47,46.79
2016 Presidential Primary,19.65,18.41,27.89,34.69,37.28,42.66,43.70,47.75,53.05,53.67,39.96
2016 Primary,12.18,10.23,19.07,23.90,29.15,31.30,33.66,34.94,40.42,47.47,30.71
2016 Primary Runoff,9.59,8.75,16.26,19.95,24.65,24.56,27.52,27.64,32.40,40.66,25.48
2016 General,48.91,47.10,60.33,65.12,69.93,72.37,76.11,75.02,80.45,78.32,68.62
2018 Primary,5.86,7.40,10.50,14.10,14.32,17.94,19.16,24.00,31.54,35.16,20.21
2018 Primary Runoff,4.77,4.76,6.98,11.82,11.79,16.97,19.27,23.32,29.05,35.58,19.08
2018 General,37.34,40.90,52.06,56.18,62.64,65.88,67.85,71.11,74.59,76.49,62.20
