ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.27,3.79,8.46,10.88,12.23,17.28,17.10,17.84,28.34,30.56,17.06
2014 Primary Runoff,1.95,1.25,3.94,5.07,7.21,9.74,10.12,11.04,19.65,23.42,11.31
2014 General,13.47,16.21,26.60,34.09,40.89,43.92,48.97,50.72,61.55,57.71,41.95
2016 Presidential Primary,11.50,13.10,18.04,23.41,27.99,32.00,33.94,35.03,43.16,44.94,30.83
2016 Primary,12.58,10.62,16.83,23.39,22.22,31.81,29.64,33.83,41.88,43.92,29.24
2016 Primary Runoff,3.74,2.00,3.30,6.00,5.31,7.10,6.72,8.02,8.69,7.48,6.10
2016 General,44.13,37.83,48.90,58.31,63.61,67.41,66.60,73.21,74.20,74.87,62.91
2018 Primary,5.18,4.50,8.07,9.65,13.92,18.02,21.86,22.88,26.55,36.25,19.45
2018 Primary Runoff,3.19,2.38,4.83,4.75,7.08,11.00,11.48,14.80,16.51,25.92,12.53
2018 General,35.34,33.55,43.50,47.30,57.53,62.36,60.73,64.95,67.50,71.38,56.60
