ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,2.89,2.05,3.29,4.94,7.00,9.77,13.57,18.15,23.57,30.15,11.81
2014 Primary Runoff,1.81,1.23,1.92,2.73,4.23,6.27,9.99,14.40,19.08,26.11,9.11
2014 General,16.34,17.90,27.90,36.39,43.39,48.99,54.10,58.01,62.03,63.21,43.13
2016 Presidential Primary,16.66,15.11,19.72,23.95,27.94,33.12,38.88,42.92,46.57,48.93,31.87
2016 Primary,1.91,1.26,2.03,2.95,4.05,5.29,6.89,8.97,12.02,17.13,6.58
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00
2016 General,48.99,42.93,52.00,59.79,64.60,69.05,71.78,72.86,74.34,71.92,62.86
2018 Primary,5.70,4.40,6.42,9.16,11.58,14.01,16.68,19.86,23.63,29.24,14.42
2018 Primary Runoff,2.64,1.90,2.98,4.30,5.89,8.44,11.68,15.96,20.18,27.02,10.65
2018 General,37.53,36.28,43.87,51.90,57.84,62.41,65.75,67.62,69.01,67.82,55.66
