ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.88,3.91,9.67,14.58,14.52,14.39,17.05,20.92,30.18,29.21,16.56
2014 Primary Runoff,1.61,0.88,3.07,3.10,6.19,5.04,6.68,11.93,13.83,18.51,7.96
2014 General,10.78,10.42,17.74,24.74,28.86,28.50,34.00,42.47,49.07,51.39,31.20
2016 Presidential Primary,12.58,9.98,14.68,20.62,22.08,23.91,26.64,32.28,32.91,39.30,24.73
2016 Primary,12.09,11.82,11.46,17.83,20.98,24.21,28.66,33.18,36.25,40.85,25.05
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,37.05,36.35,45.88,49.11,53.72,58.28,64.38,70.65,67.14,70.18,56.20
2018 Primary,8.91,5.85,11.62,13.55,20.18,21.34,22.77,23.29,33.56,34.87,20.34
2018 Primary Runoff,4.80,3.87,5.83,8.37,11.61,11.79,14.32,14.19,20.92,26.12,13.11
2018 General,28.55,23.63,32.50,41.47,43.66,53.75,56.37,56.97,64.32,65.79,47.39
