ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.60,3.93,5.63,8.91,8.95,14.40,14.64,19.81,25.00,27.39,15.80
2014 Primary Runoff,2.47,2.58,4.50,2.86,2.75,8.75,9.86,12.01,16.37,20.85,10.53
2014 General,20.24,22.03,36.87,41.52,51.82,52.99,56.49,61.82,65.86,63.30,50.59
2016 Presidential Primary,16.58,19.20,24.19,24.35,31.74,33.20,36.82,36.59,44.05,45.17,34.14
2016 Primary,16.45,15.02,25.12,30.17,33.62,39.45,39.93,48.03,53.38,50.21,38.32
2016 Primary Runoff,4.48,6.83,6.57,11.11,11.21,14.00,18.28,17.44,18.69,24.38,15.44
2016 General,43.27,42.58,52.44,60.76,62.70,71.60,72.20,77.54,79.25,75.03,65.97
2018 Primary,4.78,8.47,7.18,9.91,11.62,15.57,17.83,28.47,26.06,35.08,20.10
2018 Primary Runoff,2.44,1.21,2.60,4.44,6.22,9.05,10.55,10.75,15.03,22.63,11.18
2018 General,30.38,35.97,45.37,60.17,56.78,64.78,64.44,73.99,74.36,72.54,60.54
