ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.14,3.34,4.95,8.34,9.58,11.99,16.73,20.35,27.49,35.46,14.86
2014 Primary Runoff,2.10,1.89,2.41,3.33,5.48,8.00,10.06,15.45,20.07,29.52,10.59
2014 General,12.81,13.79,21.85,29.13,34.03,40.99,46.22,50.78,57.80,62.51,38.05
2016 Presidential Primary,15.11,14.11,20.66,23.75,26.83,31.76,35.69,39.87,46.44,49.17,31.28
2016 Primary,3.19,2.76,4.50,5.63,8.20,8.24,10.66,12.65,17.96,25.15,10.64
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,44.10,43.25,54.49,60.51,62.11,67.24,69.07,72.33,74.69,75.13,62.87
2018 Primary,3.85,3.49,4.84,6.69,8.70,10.49,14.95,16.03,23.26,31.66,13.23
2018 Primary Runoff,2.19,1.69,1.89,3.25,5.03,6.94,10.01,12.64,17.27,25.41,9.46
2018 General,31.85,36.48,44.71,51.44,57.45,60.37,65.55,68.96,70.90,73.08,56.41
