ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.50,6.37,6.49,5.97,10.90,9.09,16.59,23.11,32.42,36.40,19.19
2014 Primary Runoff,1.54,1.90,5.56,2.14,8.18,10.53,10.41,16.11,27.85,26.02,14.06
2014 General,19.19,23.87,28.06,29.79,48.73,50.29,52.73,62.07,62.44,60.69,47.72
2016 Presidential Primary,17.16,15.72,21.32,27.45,28.47,38.41,40.18,47.14,50.24,49.91,37.60
2016 Primary,31.15,30.51,36.49,46.21,48.34,58.33,55.25,66.21,74.27,71.48,56.08
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,42.00,46.99,50.67,61.84,60.58,72.38,74.21,75.45,79.15,77.94,67.05
2018 Primary,2.36,2.94,6.33,8.75,11.03,14.20,14.21,17.83,33.83,33.04,18.03
2018 Primary Runoff,3.41,1.76,5.16,8.28,9.52,12.73,16.06,21.21,23.38,26.44,15.67
2018 General,33.80,30.41,36.18,41.21,38.51,54.88,56.78,58.04,70.39,67.85,52.98
