ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,22.37,17.02,22.05,26.04,26.99,32.44,35.64,36.80,44.37,43.44,33.39
2014 Primary Runoff,19.63,9.94,16.84,18.04,22.16,26.69,29.64,30.15,31.55,36.38,26.65
2014 General,21.22,18.14,23.96,30.45,33.16,39.02,45.06,48.19,58.56,58.44,42.03
2016 Presidential Primary,10.42,14.08,13.39,18.93,17.36,25.12,30.43,32.50,38.96,44.49,29.08
2016 Primary,39.11,32.87,36.17,46.27,43.27,51.49,52.33,55.11,59.78,57.85,49.98
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,41.19,40.43,43.70,53.96,49.01,63.18,68.92,69.35,72.76,69.59,60.30
2018 Primary,17.34,14.07,14.95,25.92,26.30,30.90,35.18,33.63,40.27,40.04,30.87
2018 Primary Runoff,2.84,1.74,1.30,3.70,4.48,7.44,9.92,10.05,13.01,19.44,10.23
2018 General,33.52,35.40,41.92,51.92,57.43,64.18,69.55,68.31,72.34,72.17,60.60
