ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.87,5.83,9.95,12.27,16.13,16.89,22.08,27.17,32.30,34.72,20.23
2014 Primary Runoff,2.00,2.43,4.41,5.34,7.17,9.57,12.84,14.38,19.66,24.88,12.26
2014 General,11.30,13.61,23.02,28.05,32.83,36.87,42.96,47.92,55.03,54.52,37.15
2016 Presidential Primary,13.43,13.10,19.95,24.54,28.03,32.41,36.42,41.21,48.14,47.10,32.74
2016 Primary,6.45,6.89,13.07,16.88,17.12,19.53,23.08,27.28,30.80,34.55,21.62
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,39.13,36.38,46.97,54.04,57.89,61.08,61.85,67.61,70.38,68.48,57.77
2018 Primary,4.95,5.41,9.41,13.90,14.93,17.92,20.30,22.92,30.30,34.41,19.70
2018 Primary Runoff,2.45,2.28,3.72,5.97,6.92,10.07,13.00,15.60,21.82,27.85,13.40
2018 General,29.81,35.73,42.67,49.45,54.64,57.43,60.77,62.88,66.44,70.25,54.91
