ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,2.83,2.28,3.51,5.82,8.46,11.36,16.41,20.40,27.09,35.93,14.73
2014 Primary Runoff,1.41,0.91,1.45,2.85,4.17,6.34,9.53,12.19,17.23,26.03,9.38
2014 General,8.27,9.03,13.20,17.42,26.08,34.07,40.25,46.31,51.48,57.17,31.80
2016 Presidential Primary,10.36,9.13,11.58,15.33,19.07,24.98,30.53,35.98,39.83,43.86,25.53
2016 Primary,2.57,1.46,3.06,5.82,6.55,8.07,11.09,14.55,17.15,23.02,10.38
2016 Primary Runoff,0.00,0.03,0.00,0.00,0.04,0.00,0.12,0.06,0.04,0.47,0.11
2016 General,37.52,30.96,37.55,44.32,52.32,58.85,64.95,68.07,70.16,71.35,54.51
2018 Primary,4.32,3.60,5.59,7.84,11.75,12.98,16.49,19.24,21.96,29.22,14.65
2018 Primary Runoff,1.33,1.31,1.53,2.81,4.42,6.28,8.30,11.60,13.65,20.19,8.39
2018 General,22.94,22.60,29.78,35.20,43.16,49.81,56.65,62.53,64.93,67.60,46.91
