ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.89,4.85,7.31,9.79,13.27,14.14,16.57,19.58,24.96,25.64,15.79
2014 Primary Runoff,1.15,1.28,1.88,2.33,2.53,4.62,6.10,8.19,12.23,13.95,6.81
2014 General,18.47,22.20,32.09,37.61,37.88,48.07,50.37,58.54,62.52,61.72,45.97
2016 Presidential Primary,12.95,15.51,20.13,23.48,24.41,30.08,28.18,36.07,43.96,45.06,30.91
2016 Primary,14.18,14.26,16.63,25.79,24.71,31.62,32.78,41.64,47.07,44.64,32.07
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,36.93,39.66,50.64,55.58,53.21,62.45,67.70,68.80,75.52,71.64,60.57
2018 Primary,4.15,6.32,9.40,11.04,14.01,13.98,20.08,24.07,26.41,30.70,18.78
2018 Primary Runoff,2.11,4.05,5.80,4.43,6.89,8.47,10.24,14.88,16.88,24.41,12.56
2018 General,34.57,41.75,48.68,56.35,60.18,64.85,72.67,71.32,76.76,77.44,63.36
