ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,4.14,3.40,5.68,8.87,13.11,17.06,20.81,25.87,32.27,37.02,17.01
2014 Primary Runoff,2.23,1.68,2.85,4.85,7.53,10.80,13.84,17.88,23.72,29.24,11.81
2014 General,19.20,23.19,31.40,39.06,45.64,51.52,56.47,60.40,65.95,64.87,45.50
2016 Presidential Primary,15.76,17.63,21.73,26.06,29.81,34.35,38.67,43.16,49.14,50.25,32.86
2016 Primary,4.01,2.88,4.64,7.37,10.59,13.78,16.56,20.14,25.92,30.27,13.93
2016 Primary Runoff,1.33,0.82,1.26,2.16,3.04,4.44,5.92,7.69,10.74,11.83,5.07
2016 General,45.61,45.32,50.74,55.79,61.16,65.59,68.59,70.99,73.72,71.49,60.36
2018 Primary,6.84,6.74,10.16,13.52,16.82,19.52,23.15,26.96,32.67,37.37,19.47
2018 Primary Runoff,2.05,1.60,2.64,3.88,5.19,7.06,9.52,11.93,15.48,21.80,8.50
2018 General,37.73,41.20,47.77,53.10,58.78,63.57,66.16,68.41,71.04,70.72,57.11
