ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,5.16,6.37,11.02,14.86,19.37,21.11,23.06,29.79,37.40,45.08,19.72
2014 Primary Runoff,1.42,1.48,3.30,4.66,7.42,8.27,10.40,14.72,20.52,28.04,9.49
2014 General,17.94,17.76,25.70,34.00,40.86,44.51,49.71,54.64,65.54,67.60,38.56
2016 Presidential Primary,30.71,19.35,21.93,26.14,29.83,32.71,35.36,40.17,47.30,51.32,32.46
2016 Primary,1.71,1.52,2.36,3.40,4.65,6.90,8.13,11.01,14.73,21.33,7.30
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,63.15,40.61,42.42,50.93,57.09,63.05,65.78,69.47,74.04,76.06,58.71
2018 Primary,9.43,10.30,14.51,20.48,24.16,28.75,28.24,30.31,39.16,45.83,23.61
2018 Primary Runoff,1.62,1.50,2.45,3.57,5.31,7.82,9.72,11.93,15.20,23.75,8.16
2018 General,49.93,38.10,42.02,48.20,54.25,59.27,61.80,64.35,70.23,73.66,54.62
