ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,6.89,8.32,12.96,14.27,16.35,18.61,19.36,23.38,29.67,32.65,20.39
2014 Primary Runoff,1.73,0.96,2.75,3.15,4.92,5.39,7.19,9.89,15.10,20.01,9.06
2014 General,21.33,23.52,38.02,42.51,48.58,54.46,51.46,56.39,62.89,63.03,48.93
2016 Presidential Primary,12.01,12.59,21.98,26.24,25.32,30.28,34.23,34.64,45.33,44.98,31.62
2016 Primary,12.69,13.28,21.34,28.32,29.91,32.75,35.74,38.05,42.48,44.15,32.43
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,44.42,40.67,51.39,59.19,61.26,68.04,68.54,69.04,73.01,73.55,63.24
2018 Primary,6.02,4.80,9.76,13.47,15.25,20.42,23.38,23.96,28.69,31.83,20.40
2018 Primary Runoff,3.51,3.32,5.60,8.64,10.34,13.01,16.89,17.86,22.64,27.57,15.70
2018 General,40.73,39.78,53.32,58.06,64.09,69.15,68.52,70.61,74.87,75.58,63.87
