ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,6.45,7.30,6.68,9.20,12.40,16.86,18.98,19.87,25.06,28.49,17.31
2014 Primary Runoff,1.57,2.07,2.28,1.94,4.81,8.19,10.00,11.36,14.48,18.84,9.47
2014 General,24.86,25.05,31.42,36.13,44.77,47.55,52.26,60.00,62.84,65.36,48.40
2016 Presidential Primary,9.99,11.91,18.86,22.00,27.43,25.93,31.27,36.14,38.65,41.28,29.01
2016 Primary,6.72,6.16,14.03,12.46,14.60,15.37,16.24,24.27,24.54,28.62,18.51
2016 Primary Runoff,2.86,3.34,4.65,5.52,5.56,4.75,6.31,9.78,9.14,9.78,6.86
2016 General,42.37,37.76,50.86,52.83,62.39,64.37,69.01,70.48,75.69,72.09,61.87
2018 Primary,3.16,5.00,10.74,11.39,11.42,14.05,15.79,23.36,27.41,30.51,17.98
2018 Primary Runoff,1.67,1.59,3.56,4.32,3.82,4.77,5.57,10.58,12.54,18.71,8.88
2018 General,27.71,29.83,41.04,46.38,52.71,56.00,61.01,63.60,69.19,67.21,54.09
