ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.30,3.68,5.05,7.97,9.24,13.80,17.95,20.16,25.36,30.08,15.56
2014 Primary Runoff,0.70,0.48,1.16,1.98,1.92,2.99,4.83,4.64,9.45,11.35,4.84
2014 General,12.31,14.23,20.55,28.67,35.31,41.39,46.88,51.69,54.20,58.36,38.85
2016 Presidential Primary,11.01,12.34,17.74,20.11,27.08,29.54,34.22,37.51,42.04,43.59,29.47
2016 Primary,13.72,12.05,18.04,22.46,27.13,33.93,34.52,38.35,39.49,41.34,29.57
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,41.15,35.59,46.22,52.53,61.28,65.41,68.24,71.21,72.41,71.35,59.82
2018 Primary,3.10,3.17,6.01,6.90,9.14,11.57,13.24,16.30,20.09,22.95,12.82
2018 Primary Runoff,2.18,2.26,4.05,5.08,6.68,9.43,9.96,13.62,15.19,21.51,10.77
2018 General,29.24,30.03,43.02,48.49,55.24,58.58,63.22,69.08,69.61,69.39,55.41
