ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.95,3.43,6.69,10.66,12.39,14.38,18.48,25.06,31.73,40.41,20.57
2014 Primary Runoff,2.37,1.65,3.43,4.98,6.63,7.63,11.76,16.99,22.43,32.91,14.68
2014 General,8.93,11.70,19.90,24.97,28.58,34.06,39.78,47.30,56.80,63.52,38.70
2016 Presidential Primary,10.66,10.21,15.22,20.21,22.49,25.59,29.46,35.83,43.63,49.79,30.66
2016 Primary,4.21,2.96,6.52,9.30,9.94,13.38,14.52,20.60,25.48,33.83,17.67
2016 Primary Runoff,2.60,2.28,4.11,4.74,6.17,7.66,8.41,12.55,16.89,22.98,11.44
2016 General,38.71,34.39,43.03,51.56,55.42,60.66,63.90,67.22,74.29,74.89,59.85
2018 Primary,4.77,3.25,6.51,9.08,11.78,14.35,16.18,19.66,25.17,32.14,17.59
2018 Primary Runoff,2.86,2.03,3.65,5.69,8.35,10.46,11.33,14.89,20.70,27.16,13.86
2018 General,25.82,27.92,36.34,44.34,49.57,54.81,58.18,62.30,68.57,71.56,53.80
