ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.53,4.35,3.28,4.23,7.12,12.40,12.45,17.62,20.92,26.86,13.60
2014 Primary Runoff,0.90,1.14,0.83,2.53,2.54,6.41,5.18,9.57,11.35,16.14,7.21
2014 General,14.74,15.00,23.89,26.97,30.81,37.53,41.58,47.99,59.92,58.14,39.00
2016 Presidential Primary,11.11,12.61,16.71,19.36,22.44,26.61,28.11,32.78,40.70,41.10,27.82
2016 Primary,10.38,13.97,17.07,18.03,23.34,32.01,34.82,33.61,40.20,42.82,29.40
2016 Primary Runoff,0.82,1.09,0.27,0.54,2.02,1.34,2.39,3.29,4.31,5.18,2.68
2016 General,37.62,41.83,44.03,54.48,59.54,66.05,60.13,67.91,69.73,70.82,59.34
2018 Primary,4.25,6.00,4.90,7.12,10.59,15.28,16.46,18.66,25.06,28.57,16.31
2018 Primary Runoff,1.16,3.74,3.26,2.74,5.71,7.30,8.13,11.81,15.19,22.36,10.70
2018 General,31.23,32.56,42.42,47.79,57.52,60.88,60.49,64.09,70.90,70.46,56.39
