ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.74,4.71,6.31,11.04,15.28,15.69,18.45,20.59,29.03,35.42,20.02
2014 Primary Runoff,1.30,1.98,1.74,4.09,6.65,7.81,10.80,13.49,21.07,27.44,13.38
2014 General,14.27,18.11,22.63,27.82,35.67,40.67,47.15,51.07,61.97,63.51,43.86
2016 Presidential Primary,20.45,16.29,22.68,26.96,33.75,38.07,42.47,46.14,50.84,53.25,39.22
2016 Primary,11.76,11.45,16.98,21.50,28.30,31.88,33.76,36.82,41.15,44.87,31.61
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,51.33,45.64,52.45,60.99,68.28,70.95,73.98,73.26,77.78,74.32,66.97
2018 Primary,5.89,3.76,7.36,11.18,15.31,17.95,19.62,25.21,29.01,37.39,21.17
2018 Primary Runoff,4.78,2.98,6.01,8.31,11.70,14.54,19.18,24.15,25.33,35.34,19.28
2018 General,34.20,34.70,44.35,50.74,57.10,62.68,64.90,68.66,72.02,72.38,59.01
