ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,2.50,3.73,4.10,5.88,7.84,10.45,12.06,16.75,19.72,27.77,12.99
2014 Primary Runoff,2.58,1.97,2.28,2.91,6.09,8.79,9.52,11.34,13.96,21.74,9.78
2014 General,15.56,18.65,27.52,31.78,35.38,44.39,47.99,47.22,54.46,57.79,40.13
2016 Presidential Primary,14.82,16.93,24.97,24.79,29.80,33.21,36.82,37.95,41.85,46.77,32.78
2016 Primary,9.68,7.44,13.45,17.28,22.56,23.38,25.78,27.80,32.83,38.47,23.88
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,43.04,41.09,54.45,59.61,66.16,64.72,72.16,71.05,71.60,74.36,63.13
2018 Primary,3.59,4.66,5.97,6.44,11.94,12.14,16.63,20.75,22.21,31.61,15.67
2018 Primary Runoff,2.63,2.63,3.40,4.71,7.24,9.74,12.88,14.34,16.67,25.67,11.93
2018 General,34.76,38.85,47.45,51.09,58.22,60.30,63.70,67.69,68.53,73.35,57.79
