ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,4.70,2.64,5.87,8.81,8.97,14.00,17.36,21.37,25.80,31.31,18.02
2014 Primary Runoff,1.72,1.33,1.95,2.59,4.62,5.81,11.68,13.93,15.72,22.33,11.45
2014 General,19.00,22.65,29.37,39.23,45.71,50.19,56.19,57.14,60.75,65.77,49.70
2016 Presidential Primary,15.63,11.46,20.84,25.71,33.17,37.21,40.56,42.25,47.49,48.59,36.41
2016 Primary,24.66,20.16,28.71,35.29,45.28,52.69,51.94,54.75,56.44,58.34,46.84
2016 Primary Runoff,0.00,0.00,0.00,0.24,0.49,0.19,0.82,0.61,1.64,1.81,0.87
2016 General,46.32,47.02,52.40,61.31,69.23,71.92,73.62,71.95,78.53,75.73,67.64
2018 Primary,4.28,5.42,9.41,10.39,15.27,15.09,19.25,22.75,28.12,32.15,20.18
2018 Primary Runoff,2.86,2.63,2.51,6.25,8.79,11.89,11.97,14.61,16.75,26.98,14.52
2018 General,40.89,44.19,49.88,56.80,60.14,70.82,70.99,72.85,73.74,75.15,65.07
