ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,5.80,4.39,8.34,10.35,13.56,17.15,20.50,25.06,30.58,37.10,18.02
2014 Primary Runoff,2.31,1.60,3.04,3.65,4.78,6.87,10.00,14.08,17.36,25.57,9.60
2014 General,17.32,20.51,29.30,34.06,43.30,48.16,52.71,57.03,63.98,65.10,44.12
2016 Presidential Primary,15.27,16.28,22.38,27.52,32.16,36.37,42.21,46.28,50.83,50.49,35.03
2016 Primary,7.79,6.67,12.04,15.55,17.57,19.48,23.28,28.44,33.84,36.59,21.10
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,46.27,45.62,58.92,62.62,65.55,69.03,70.14,73.59,76.67,75.98,65.13
2018 Primary,3.65,3.41,6.35,8.54,10.57,13.17,18.43,23.53,27.70,34.77,16.16
2018 Primary Runoff,1.33,1.49,2.68,3.64,5.20,6.29,8.82,15.46,19.53,27.92,10.40
2018 General,32.11,37.12,47.19,55.72,60.39,63.65,67.33,71.32,72.77,73.98,58.95
