ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,10.97,6.47,8.87,13.83,19.63,20.50,21.60,19.50,26.26,32.20,20.45
2014 Primary Runoff,2.96,1.69,3.22,3.18,4.21,7.99,10.32,10.88,13.90,19.01,9.79
2014 General,23.71,23.26,32.43,37.66,44.41,45.02,51.09,54.01,59.38,56.67,45.39
2016 Presidential Primary,19.23,16.63,23.10,26.70,32.43,33.25,34.94,40.23,43.56,41.80,33.40
2016 Primary,24.24,22.15,29.68,40.79,42.28,46.47,47.26,50.58,57.29,53.26,43.82
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,53.86,49.33,55.98,66.92,69.48,76.28,74.71,76.68,77.62,72.64,68.55
2018 Primary,13.95,11.05,12.38,21.56,20.38,30.03,33.70,29.64,33.91,38.43,27.37
2018 Primary Runoff,7.32,5.77,5.28,11.44,12.43,17.69,18.53,21.05,23.17,27.47,17.64
2018 General,44.96,43.59,53.00,62.50,65.94,72.38,74.66,71.81,76.44,73.15,65.80
