ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,2.64,3.41,6.86,10.73,14.33,18.14,22.34,29.12,36.10,39.38,19.23
2014 Primary Runoff,1.98,1.75,4.00,5.74,7.82,11.71,15.41,21.04,26.44,30.19,13.68
2014 General,15.99,16.74,27.07,34.37,40.24,45.67,48.94,55.35,63.02,61.17,40.87
2016 Presidential Primary,10.94,9.82,16.84,22.40,26.29,28.83,35.47,39.96,45.19,45.66,28.89
2016 Primary,4.73,4.37,7.95,13.38,16.94,19.89,25.09,28.34,34.79,37.55,20.36
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,35.66,29.76,40.53,48.89,55.66,59.17,63.93,65.61,71.28,68.26,53.44
2018 Primary,3.69,3.84,6.14,9.64,13.81,16.50,19.97,23.65,31.31,36.33,17.71
2018 Primary Runoff,0.71,0.78,1.39,2.28,3.00,4.44,7.47,9.99,14.02,21.64,7.95
2018 General,25.48,25.16,35.19,42.51,49.68,52.39,57.49,60.52,64.96,66.63,47.87
