ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,3.84,2.98,3.60,5.08,6.92,10.09,15.54,20.09,25.95,30.85,12.84
2014 Primary Runoff,2.27,2.20,1.94,3.45,5.53,7.77,13.48,18.28,24.12,29.49,11.28
2014 General,12.07,14.11,19.59,25.29,32.71,37.49,45.28,52.39,58.49,58.77,36.03
2016 Presidential Primary,15.90,12.93,17.76,21.55,25.43,28.71,35.39,38.80,45.41,47.80,29.56
2016 Primary,7.55,5.44,8.16,11.58,13.76,17.73,20.82,21.37,26.75,28.09,16.51
2016 Primary Runoff,2.58,2.24,4.13,5.83,7.39,8.92,9.18,10.26,12.84,13.42,7.89
2016 General,40.99,37.86,50.52,55.23,57.97,63.23,66.45,71.44,73.30,71.98,59.21
2018 Primary,3.87,3.21,4.85,6.43,7.20,11.48,15.58,17.72,22.46,27.70,12.52
2018 Primary Runoff,1.90,2.15,2.44,3.02,4.04,6.72,10.43,12.35,17.01,20.34,8.42
2018 General,30.40,30.96,41.54,45.80,49.67,56.51,62.15,66.32,69.34,70.24,52.45
