ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,5.56,5.76,7.78,9.69,11.88,15.22,20.89,25.75,31.16,35.44,19.51
2014 Primary Runoff,1.48,1.95,2.64,4.05,4.92,5.47,9.45,13.34,17.84,21.26,10.10
2014 General,15.54,20.33,27.38,34.49,37.91,39.79,47.45,57.87,62.07,59.47,42.79
2016 Presidential Primary,12.85,15.01,19.45,23.86,27.88,29.74,36.20,40.35,44.75,46.47,32.17
2016 Primary,5.81,4.78,8.07,7.69,9.09,10.91,13.86,18.54,21.38,28.59,15.26
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016 General,39.68,41.67,48.37,55.76,60.23,66.84,68.43,72.55,75.78,72.89,61.37
2018 Primary,6.24,6.57,10.99,15.40,16.87,20.21,21.85,29.40,33.52,39.32,22.64
2018 Primary Runoff,3.50,2.78,5.18,6.81,8.67,10.38,12.93,17.75,20.19,26.90,13.76
2018 General,31.27,36.36,47.71,53.06,57.23,63.36,64.91,71.10,75.44,73.14,59.02
