ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,2.35,2.54,4.17,7.22,8.58,11.31,14.50,18.57,24.70,33.16,13.78
2014 Primary Runoff,1.45,1.39,2.49,4.72,5.35,7.92,10.47,13.86,19.73,27.17,10.49
2014 General,14.89,16.39,26.10,33.87,37.74,43.96,49.08,52.95,60.64,64.58,40.82
2016 Presidential Primary,17.32,15.38,22.27,27.72,31.75,34.68,40.23,44.83,50.41,52.67,34.73
2016 Primary,3.26,2.92,4.96,8.00,9.24,11.24,14.06,16.83,21.94,31.04,13.71
2016 Primary Runoff,2.09,1.39,2.51,4.46,4.99,6.56,7.93,11.12,14.66,22.74,9.02
2016 General,51.63,40.32,52.34,58.62,64.05,67.28,69.88,71.38,75.26,74.45,62.78
2018 Primary,4.92,5.64,7.68,10.87,13.80,16.17,18.69,22.06,27.91,35.87,17.45
2018 Primary Runoff,2.12,2.02,3.25,5.37,7.12,9.94,12.63,15.85,21.39,29.18,12.12
2018 General,33.39,33.54,42.04,48.16,54.50,58.80,62.10,65.45,68.74,70.76,53.91
