ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,7.33,7.25,9.53,12.67,15.27,19.39,20.92,25.52,31.40,35.80,20.56
2014 Primary Runoff,1.19,2.01,1.93,2.75,3.21,5.80,7.05,11.78,14.41,17.55,8.09
2014 General,12.58,17.59,23.14,29.86,32.46,38.11,43.22,49.17,55.22,57.67,38.58
2016 Presidential Primary,16.69,16.53,24.76,26.84,29.81,36.54,36.44,45.08,49.39,49.94,35.48
2016 Primary,13.57,12.80,18.74,20.73,25.96,29.08,34.49,38.86,42.76,42.20,29.85
2016 Primary Runoff,0.72,0.93,1.52,1.37,2.38,2.21,4.00,4.51,4.24,4.60,2.93
2016 General,47.00,37.89,49.63,51.24,61.84,63.15,68.06,70.57,72.22,73.80,61.35
2018 Primary,4.49,3.23,8.01,8.00,13.04,13.81,18.21,20.87,26.38,28.34,16.23
2018 Primary Runoff,2.96,2.29,4.66,5.26,8.85,8.78,11.28,13.25,18.72,21.30,11.29
2018 General,35.49,34.78,47.01,49.84,58.91,60.11,63.53,66.98,72.03,72.75,57.93
