ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,2.58,2.12,3.92,6.55,9.33,12.34,14.96,19.88,24.20,29.27,11.89
2014 Primary Runoff,0.60,0.57,0.84,1.59,2.60,3.43,4.62,7.26,10.53,16.71,4.71
2014 General,18.77,20.25,28.34,36.74,44.13,48.27,51.66,57.16,59.89,59.44,41.07
2016 Presidential Primary,9.12,9.55,13.01,17.89,22.44,26.51,30.30,35.75,40.93,43.63,24.38
2016 Primary,3.78,2.78,4.17,7.16,11.05,13.81,17.62,22.56,26.32,30.23,13.59
2016 Primary Runoff,0.79,0.63,0.69,1.22,2.27,3.07,4.12,5.15,5.71,5.62,2.84
2016 General,37.59,36.80,42.82,48.88,55.81,60.37,62.65,65.85,69.37,66.81,53.46
2018 Primary,3.33,3.15,4.93,7.27,10.55,14.06,16.90,20.80,26.19,29.47,12.96
2018 Primary Runoff,0.64,0.64,0.94,1.63,2.34,3.54,4.84,7.02,10.17,16.09,4.72
2018 General,29.60,31.52,37.25,43.96,50.36,56.19,60.41,62.51,66.89,65.93,48.58
