AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,8.33,3.39,0.00,0.00,5.26,9.90,4.67,6.75
25-29,0.00,3.49,0.00,0.00,0.00,8.51,9.86,6.25
30-34,9.09,6.19,0.00,0.00,0.00,11.05,2.33,8.68
35-39,0.00,9.96,9.09,0.00,20.00,15.40,13.16,13.16
40-44,0.00,15.73,10.00,0.00,0.00,20.65,9.72,18.43
45-49,13.33,15.21,7.14,0.00,40.00,22.09,7.69,19.28
50-54,10.53,21.52,0.00,0.00,16.67,25.03,5.56,23.02
55-59,5.00,21.84,0.00,0.00,0.00,30.15,10.34,26.42
60-64,7.14,33.76,25.00,0.00,0.00,37.18,10.53,35.13
65-OVER,11.54,33.12,13.33,0.00,16.67,41.09,19.80,38.52
TOTAL,7.05,17.09,5.47,0.00,8.00,26.30,9.41,22.42
