CONGRESSIONAL DISTRICT,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
District 1,0.78,1.23,0.47,0.92,0.64,5.75,1.77,4.00
District 2,0.60,1.28,0.15,0.96,0.43,2.66,0.75,1.83
District 3,1.91,1.13,1.72,4.74,2.76,12.91,4.15,9.30
District 4,0.78,6.73,1.01,0.90,1.98,4.84,2.42,5.53
District 5,0.93,6.41,1.15,1.40,2.09,3.48,2.87,4.89
District 6,0.95,2.06,1.30,1.67,1.90,6.34,0.98,4.74
District 7,0.07,0.00,0.07,0.00,0.08,0.89,0.39,0.54
District 8,0.20,1.29,0.26,2.08,0.53,2.20,0.46,1.81
District 9,0.87,0.36,0.37,4.62,2.13,6.95,2.18,6.01
District 10,0.35,0.23,0.15,1.69,0.69,2.25,0.67,1.61
District 11,1.69,0.90,0.91,2.39,2.12,6.41,1.42,4.85
District 12,1.18,0.26,0.70,1.12,0.67,4.55,1.24,2.80
District 13,0.93,4.06,0.71,1.48,1.74,5.12,2.23,4.04
District 14,1.66,0.68,0.42,1.07,1.47,5.65,1.89,4.76
TOTAL,0.75,3.02,0.64,1.58,1.43,5.34,1.75,4.11
