PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
1A,13.27,12.26,0.00,12.73
1B,11.65,10.88,0.00,11.25
1C,12.54,11.61,0.00,12.05
1D,11.81,12.28,0.00,12.03
2A,10.24,9.570,0.00,9.880
2B,9.900,8.930,0.00,9.380
2C,9.200,7.530,0.00,8.320
3A,14.02,9.950,100.0,12.01
3B,11.47,9.360,0.00,10.35
3C,11.90,10.16,0.00,10.97
3D,9.750,8.140,0.00,8.900
4A,9.780,9.200,0.00,9.460
4B,8.000,8.270,0.00,8.130
4C,6.610,5.700,0.00,6.120
5A,10.56,8.110,0.00,9.240
5B,7.290,5.920,0.00,6.540
5C,13.43,8.670,0.00,10.82
99999,0.00,0.00,0.00,0.00
CH03,0.00,0.00,0.00,0.00
TOTAL,10.19,8.800,3.700,9.460
