AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,1.370,0.900,2.380,2.700,2.070,6.080,2.410,4.210
25-29,0.740,0.640,0.310,0.00,1.680,4.570,2.150,3.330
30-34,2.750,0.410,1.910,12.50,2.550,7.000,2.880,5.100
35-39,3.110,2.790,1.710,0.00,3.570,10.12,3.880,7.620
40-44,4.270,3.900,3.790,0.00,1.540,13.54,5.530,10.23
45-49,6.500,2.860,7.010,0.00,8.820,17.36,7.650,13.27
50-54,9.450,6.830,7.460,10.00,6.760,23.73,8.500,18.46
55-59,9.960,8.320,6.700,14.29,17.65,29.53,8.880,23.61
60-64,10.71,9.400,9.930,9.090,14.61,36.04,12.66,29.61
65-OVER,11.15,12.15,12.88,35.71,14.52,42.73,19.39,36.71
TOTAL,6.310,4.780,4.330,6.400,6.300,22.03,6.650,16.76
