PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
1713,13.85,10.71,0.00,12.19
1923,10.61,8.520,0.00,9.490
1933,12.21,9.640,0.00,10.86
1943,17.41,12.97,0.00,15.07
2713,28.66,28.62,0.00,28.60
2923,29.70,27.52,0.00,28.52
2933,26.73,25.65,0.00,26.11
2943,27.36,25.81,12.50,26.47
2953,22.16,17.18,0.00,19.51
3713,8.080,5.940,0.00,6.900
3723,10.71,8.740,0.00,9.610
3733,12.03,10.08,0.00,10.96
3743,10.38,10.03,16.67,10.20
4913,9.480,7.410,16.67,8.290
4923,8.170,7.470,0.00,7.760
4933,6.460,6.360,0.00,6.390
5913,12.80,10.20,0.00,11.26
5923,8.440,9.310,0.00,8.910
5933,3.870,5.780,0.00,5.060
5943,3.720,4.330,0.00,4.060
99999,0.00,0.00,0.00,0.00
TOTAL,14.79,13.13,3.900,13.86
