PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
PALMYRA METH CHURCH,6.89,6.31,0.00,6.53
SHERWOOD ELEM,6.10,5.92,0.00,5.96
COVENANT CHURCH,9.95,7.01,0.00,8.28
GREENBRIAR CHURCH,14.86,12.28,14.29,13.44
WESTOVER HIGH,11.57,11.52,0.00,11.52
MERRY ACRES MIDDLE,11.58,9.83,0.00,10.58
DARTON COLLEGE,4.96,4.48,0.00,4.66
WESTTOWN ELEM,5.65,6.63,0.00,6.16
2ND MT ZION CHURCH,13.48,14.32,0.00,13.86
MT ZION CENTER,9.25,11.61,0.00,10.45
ALICE COACHMAN ELEM,18.27,27.55,0.00,23.58
CARVER TEEN CENTER,4.74,7.80,0.00,6.34
SHILOH BAPTIST CHURC,2.80,4.68,0.00,3.76
LITMAN CATHEDRAL,1.86,4.02,3.12,3.12
PHOEBE HEALTHWORKS,2.36,3.22,0.00,2.78
TURNER ELEM SCHOOL,0.77,1.30,0.00,1.03
JACKSON HEIGHTS ELEM,3.19,4.92,0.00,4.16
BILL MILLER CENTER,6.71,9.27,2.17,8.10
RADIUM MIDDLE SCHOOL,11.71,12.20,0.00,11.93
PUTNEY 1ST BAPT CHUR,11.40,11.12,7.14,11.23
INTERNATIONAL STUDIE,7.05,5.23,0.00,6.00
PHOEBE EAST,3.06,3.59,0.00,3.33
PINE BLUFF BAPT CHUR,4.97,6.26,7.69,5.68
ALBANY MIDDLE SCHOOL,2.78,3.50,0.00,3.18
CHRIST CHURCH,18.10,12.49,0.00,15.18
LAMAR REESE ELEM SCH,20.51,25.34,0.00,23.06
1ST CHRISTIAN CHURCH,13.67,10.12,0.00,11.70
LOVETT HALL,0.24,0.50,0.00,0.41
88888,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00
TOTAL,8.03,8.01,0.79,7.95
