ELECTION TYPE/YEAR,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
2014 Primary,4.01,3.55,5.76,8.34,11.18,14.04,17.54,22.25,28.66,35.44,16.36
2014 Primary Runoff,1.96,1.57,2.58,3.87,5.62,7.68,10.62,14.41,19.44,26.75,10.66
2014 General,16.09,18.55,27.11,34.72,41.31,46.49,51.25,55.98,62.08,63.82,42.90
2016 Presidential Primary,16.06,15.25,20.26,24.79,29.11,33.43,37.90,42.01,47.44,50.13,32.95
2016 Primary,5.13,4.02,6.34,9.10,11.76,14.15,16.73,20.32,25.65,32.36,15.90
2016 Primary Runoff,1.09,0.78,1.29,1.94,2.59,3.31,4.01,5.17,6.82,9.42,4.11
2016 General,46.36,41.96,49.95,57.25,62.89,67.20,69.62,71.75,74.64,73.68,61.99
2018 Primary,5.59,5.08,7.82,10.72,13.51,16.18,19.10,22.58,27.92,34.44,17.54
2018 Primary Runoff,2.48,1.91,3.03,4.46,6.22,8.67,11.53,14.97,19.08,26.43,11.20
2018 General,35.04,35.84,43.71,50.71,56.78,61.90,64.95,67.39,70.64,71.50,56.32
