AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,4.17,8.70,42.86,12.50,17.77,14.49,17.01
25-29,10.00,5.00,9.68,40.00,20.00,18.78,14.71,18.13
30-34,0.00,0.00,14.29,0.00,0.00,26.06,22.39,25.19
35-39,16.67,18.18,20.00,28.57,0.00,34.02,36.11,33.63
40-44,0.00,11.11,22.22,25.00,40.00,38.26,31.58,37.31
45-49,57.14,33.33,30.00,0.00,50.00,45.73,29.03,44.65
50-54,50.00,33.33,44.44,50.00,60.00,52.88,33.33,51.73
55-59,0.00,46.15,28.57,60.00,40.00,58.75,42.86,57.57
60-64,0.00,60.00,33.33,57.14,80.00,64.40,44.93,63.30
65-OVER,20.00,41.18,50.00,62.50,50.00,69.29,56.69,68.49
TOTAL,17.86,21.43,21.21,44.68,32.43,47.54,32.94,46.10
